Time,Out,In
?.?.-19,17394640,17004981
?.?.-19,16866790,16822510
??.?.-19,17911200,18015072
??.?.-19,16052470,14552710
?.?.-19,16669100,18489832
??.?.-19,15796260,15424370
?.?.-19,17386420,17701339
?.?.-19,17984348,18042321
?.?.-19,17637610,18034706
?.?.-19,17406938,17436179
?.?.-19,17238630,17190933
?.?.-19,17763221,17769756
?.?.-20,17388830,16685754
?.?.-20,16918390,18120544
??.?.-20,16740280,15182170
??.?.-20,16482779,16205402
?.?.-20,17839870,18370705
??.?.-20,17583730,17378718
?.?.-20,18317130,18522846
?.?.-20,19303710,19149182
?.?.-20,18371500,18399874
?.?.-20,18698390,19563885
?.?.-20,18951770,17725154
?.?.-20,18580680,18594088
?.?.-21,19506600,20058632
?.?.-21,17580408,18419693
??.?.-21,19492860,19340219
??.?.-21,18104960,17541888
?.?.-21,18689120,19292687
??.?.-21,17645090,17234688
?.?.-21,18499260,18764752
?.?.-21,18584620,19192307
?.?.-21,17760360,17448738
?.?.-21,18973260,18331628
?.?.-21,18239440,18073148
?.?.-21,18570600,18612013
