Time,Price
Jan-90,232
Feb-90,244
Mar-90,249
Apr-90,254
May-90,243
Jun-90,217
Jul-90,214
Aug-90,194
Sep-90,205
Oct-90,251
Nov-90,326
Dec-90,374
Jan-91,487
Feb-91,512
Mar-91,534
Apr-91,468
May-91,412
Jun-91,306
Jul-91,257
Aug-91,310
Sep-91,408
Oct-91,456
Nov-91,529
Dec-91,454
Jan-92,514
Feb-92,454
Mar-92,445
Apr-92,379
May-92,266
Jun-92,210
Jul-92,214
Aug-92,247
Sep-92,236
Oct-92,275
Nov-92,313
Dec-92,316
Jan-93,333
Feb-93,377
Mar-93,407
Apr-93,411
May-93,361
Jun-93,296
Jul-93,282
Aug-93,275
Sep-93,263
Oct-93,270
Nov-93,350
Dec-93,450
Jan-94,488
Feb-94,564
Mar-94,522
Apr-94,436
May-94,341
Jun-94,272
Jul-94,263
Aug-94,248
Sep-94,234
Oct-94,242
Nov-94,272
Dec-94,284
Jan-95,292
Feb-95,290
Mar-95,273
Apr-95,273
May-95,258
Jun-95,231
Jul-95,213
Aug-95,237
Sep-95,251
Oct-95,311
Nov-95,354
Dec-95,397
Jan-96,419
Feb-96,477
Mar-96,528
Apr-96,472
May-96,446
Jun-96,424
Jul-96,366
Aug-96,335
Sep-96,339
Oct-96,364
Nov-96,437
Dec-96,499
Jan-97,472
Feb-97,491
Mar-97,489
Apr-97,434
May-97,349
Jun-97,259
Jul-97,221
Aug-97,209
Sep-97,224
Oct-97,285
Nov-97,272
Dec-97,307
Jan-98,343
Feb-98,429
Mar-98,412
Apr-98,357
May-98,318
Jun-98,320
Jul-98,357
Aug-98,419
Sep-98,512
Oct-98,828
Nov-98,1062
Dec-98,1130
Jan-99,1104
Feb-99,965
Mar-99,961
Apr-99,890
May-99,772
Jun-99,558
Jul-99,461
Aug-99,466
Sep-99,503
Oct-99,602
Nov-99,718
Dec-99,729
Jan-00,533
Feb-00,395
Mar-00,316
Apr-00,286
May-00,248
Jun-00,213
Jul-00,177
Aug-00,179
Sep-00,172
Oct-00,184
Nov-00,211
Dec-00,213
Jan-01,210
Feb-01,197
Mar-01,222
Apr-01,221
May-01,237
Jun-01,231
Jul-01,216
Aug-01,205
Sep-01,210
Oct-01,300
Nov-01,391
Dec-01,386
Jan-02,404
Feb-02,434
Mar-02,428
Apr-02,453
May-02,401
Jun-02,307
Jul-02,264
Aug-02,228
Sep-02,225
Oct-02,245
Nov-02,275
Dec-02,306
Jan-03,346
Feb-03,382
Mar-03,379
Apr-03,382
May-03,371
Jun-03,329
Jul-03,269
Aug-03,276
Sep-03,277
Oct-03,298
Nov-03,383
Dec-03,398
Jan-04,520
Feb-04,584
Mar-04,575
Apr-04,570
May-04,500
Jun-04,351
Jul-04,341
Aug-04,330
Sep-04,363
Oct-04,362
Nov-04,389
Dec-04,390
Jan-05,439
Feb-05,458
Mar-05,457
Apr-05,443
May-05,428
Jun-05,402
Jul-05,390
Aug-05,392
