in ,out
17004981,17394640
16822510,16866790
18015072,17911200
14552710,16052470
18489832,16669100
15424370,15796260
17701339,17386420
18042321,17984348
18034706,17637610
17436179,17406938
17190933,17238630
17769756,17763221
16685754,17388830
18120544,16918390
15182170,16740280
16205402,16482779
18370705,17839870
17378718,17583730
18522846,18317130
19149182,19303710
18399874,18371500
19563885,18698390
17725154,18951770
18594088,18580680
20058632,19506600
18419693,17580408
19340219,19492860
17541888,18104960
19292687,18689120
17234688,17645090
18764752,18499260
19192307,18584620
17448738,17760360
18331628,18973260
18073148,18239440
18612013,18570600
